genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,release_date
A Capella,MC6 A Cappella,For the Longest Time,0PuWvFJqZPJAxZNrFgw8xL,44,0.78,0.616,223813,0.298,0.0,D,0.0973,-7.712,Major,0.0274,82.471,4/4,0.712,2011-01-01
A Capella,The Singers Unlimited,Clair,1iXJKuzDH0E6PnTk2lQXAq,33,0.973,0.484,154200,0.222,0.000306,F,0.104,-14.631,Minor,0.044,127.689,4/4,0.409,2014-01-31
A Capella,MC6 A Cappella,The Lion Sleeps Tonight,0crWDkAajRTnsGuZ6CAU85,26,0.302,0.691,183920,0.49,6.5e-06,F,0.229,-11.222,Major,0.0743,107.066,4/4,0.664,2011-01-01
A Capella,MC6 A Cappella,Come Go With Me,3XxwdU13609bTGaAFRg3PA,25,0.802,0.717,137800,0.518,0.0,G#,0.094,-7.754,Major,0.0883,129.878,4/4,0.672,2011-01-01
A Capella,Glad,A Debtor to Mercy Alone,6TK4I15u1oym5H2eETng4F,24,0.599,0.389,181267,0.153,0.0,E,0.0902,-12.023,Major,0.043,120.626,4/4,0.236,2005-01-01
A Capella,Glad,O Wondrous Love,0PCgsZKSCmsDlHBXRTdejp,23,0.793,0.349,228147,0.0913,1.61e-06,F,0.141,-15.003,Major,0.0396,120.405,3/4,0.15,2005-01-01
A Capella,MC6 A Cappella,Blue Moon,54eOtB9Vz0nli6U5Ez00ep,23,0.668,0.747,135107,0.505,0.0,G,0.101,-9.263,Major,0.0746,122.177,4/4,0.716,2011-01-01
A Capella,MC6 A Cappella,Runaround Sue,6iAU2N1jJqY9qUGvBTHtWa,23,0.656,0.705,159120,0.57,0.0,A#,0.0897,-7.124,Major,0.0983,81.977,4/4,0.652,2011-01-01
A Capella,MC6 A Cappella,Sherry,6kYfnFjxQYx2WkBW5jIiiI,23,0.36,0.654,150027,0.427,0.0,A#,0.15,-7.963,Major,0.0379,125.39,4/4,0.811,2011-01-01
A Capella,MC6 A Cappella,Goodnight Sweetheart,7dv7qZnNL5ihfvDRG699Xy,23,0.83,0.628,144867,0.299,0.0,G,0.31,-9.483,Major,0.0473,135.896,1/4,0.557,2011-01-01
A Capella,MC6 A Cappella,Teenager in Love,5FeU992vNw1J8j8aEw7vcR,22,0.835,0.583,175000,0.318,0.0,C#,0.118,-8.252,Major,0.0311,75.911,4/4,0.51,2011-01-01
A Capella,Peter Hollens,December Song (A Capella Bonus Track),6ErNbBNEpZcg3Pjboi8R7j,20,0.863,0.253,238039,0.417,6.33e-06,F#,0.0974,-3.561,Major,0.0287,143.374,3/4,0.208,2017-07-05
A Capella,MC6 A Cappella,409/Little Deuce Coupe,21mQiZt0PNxJw6RQFtlAoi,20,0.782,0.55,211133,0.448,0.0,G#,0.0657,-7.921,Major,0.0655,115.038,4/4,0.891,2011-01-01
A Capella,MC6 A Cappella,In the Still of the Night,10dia2iL9YWckDnz44UfDl,20,0.715,0.311,189933,0.442,0.0,A,0.141,-9.487,Major,0.0448,69.001,4/4,0.463,2011-01-01
A Capella,MC6 A Cappella,So Much in Love,2mvF3b4g2kkEDwK4b1AuOJ,19,0.83,0.55,185800,0.272,0.0,C,0.13,-10.649,Minor,0.0262,79.045,4/4,0.583,2011-01-01
A Capella,Peter Hollens,December Song [Bonus Track] - A Capella,0FXAP0YeMzfgPQpLp5ZTOv,18,0.861,0.185,238053,0.394,5.08e-06,F#,0.0949,-3.555,Major,0.0324,45.957,4/4,0.191,2017-07-05
A Capella,MC6 A Cappella,Since You've Been Gone,6VUdwP2f9JZLLzi6ncOuV4,18,0.846,0.603,99973,0.396,0.0,G#,0.0735,-7.451,Major,0.0665,125.115,5/4,0.593,2011-01-01
A Capella,MC6 A Cappella,Surfer Girl,0m8ZjsRZYRQlj7gpp9x1QI,18,0.69,0.524,174320,0.298,0.0,G#,0.315,-9.789,Major,0.0254,94.508,3/4,0.543,2011-01-01
A Capella,MC6 A Cappella,One Fine Day,32tK9k8wxjLk2ecV5gWtUo,18,0.628,0.784,174253,0.702,0.0,B,0.133,-7.54,Major,0.0834,95.975,4/4,0.727,2011-01-01
A Capella,Glad,Receive the Glory,5vPd4b35pDqo7Mwe2POO4D,17,0.83,0.384,198400,0.172,0.0,A#,0.195,-9.962,Major,0.0333,122.06,4/4,0.174,2005-01-01
Alternative,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,83,0.422,0.552,180019,0.65,0.000275,C#,0.372,-7.199,Major,0.128,167.788,4/4,0.316,2020-09-24
Alternative,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,81,0.544,0.515,209274,0.479,0.00598,D#,0.191,-7.458,Major,0.0261,88.964,4/4,0.284,2018-10-26
Alternative,Linkin Park,In the End,60a0Rd6pjrkxjPbaKzXjfq,80,0.0103,0.542,216933,0.853,0.0,D#,0.108,-6.407,Minor,0.0498,105.256,4/4,0.37,2000-10-24
Alternative,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,78,0.0319,0.731,200373,0.861,0.0,B,0.0829,-5.881,Major,0.0323,104.034,4/4,0.78,1999-06-08
Alternative,Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,78,0.0576,0.559,264307,0.345,0.000105,E,0.141,-13.496,Major,0.0459,84.581,4/4,0.458,1991-09-24
Alternative,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,78,0.0046,0.496,185587,0.863,0.0,A,0.639,-4.153,Major,0.0381,110.018,4/4,0.243,2003-03-25
Alternative,Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox,78,0.0021,0.592,329733,0.767,0.00165,A,0.127,-2.788,Minor,0.027,96.483,4/4,0.328,1999-06-08
Alternative,Radiohead,Creep,6b2oQwSGFkzsMtQruIWm2p,78,0.0102,0.515,238640,0.43,0.000141,G,0.129,-9.935,Major,0.0369,91.841,4/4,0.104,1993-02-22
Alternative,R.E.M.,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,78,0.163,0.671,268427,0.849,0.0,A,0.0937,-5.03,Minor,0.0284,125.613,4/4,0.829,1991-03-12
